,A43ml,A1ml,V43ml,V1ml,Depth,Length,Weight,Gutted weight,Age,Maturity,Gonad weight,Liver weight,Stomach content,perc.stomachcontent,Prey size,Prey weight,Prey nr,Sex : F,Sex : M,Gall bladder : 0.0,Gall bladder : 1.0,Gall bladder : 2.0,Gall bladder : 3.0,Gall bladder : 4.0,n.full : 1.0,n.regurgitated : 1.0,n.skeletal : 1.0,n.empty : 1.0,Prey species : Algae,Prey species : Ammodytidae,Prey species : Amphipoda,Prey species : Anguilla anguilla,Prey species : Annelida,Prey species : Bivalvia,Prey species : Bylgides sarsi,Prey species : Carbon,Prey species : Clupea harengus,Prey species : Clupeidae,Prey species : Copepoda,Prey species : Corophium volutator,Prey species : Crangon crangon,Prey species : Crustacea,Prey species : Cumacea,Prey species : Diastylis rathkei,Prey species : Empty,Prey species : Enchelyopus cimbrius,Prey species : Gadidae,Prey species : Gadus morhua,Prey species : Gammarus sp.,Prey species : Gasterosteus aculeatus,Prey species : Gobiidae,Prey species : Gobius niger,Prey species : Halicryptus,Prey species : Halicryptus spinulosus,Prey species : Hyperia galba,Prey species : Idotea balthica,Prey species : Limecola balthica,Prey species : Merlangius merlangus,Prey species : Mollusca,Prey species : Monoporeia affinis,Prey species : Mysidae,Prey species : Mysis mixta,Prey species : Mysis relicta,Prey species : Mytilus sp.,Prey species : Neomysis integer,Prey species : Palaemon sp.,Prey species : Pectinaria sp.,Prey species : Pisces,Prey species : Pisces Eggs,Prey species : Platichthys flesus,Prey species : Pleuronectes platessa,Prey species : Pleuronectidae,Prey species : Pomatoschistus minutus,Prey species : Pontoporeia femorata,Prey species : Pontoporeia sp.,Prey species : Praunus flexuosus,Prey species : Priapulida,Prey species : Priapulidae,Prey species : Priapulus caudatus,Prey species : Pungitius pungitius,Prey species : Remains,Prey species : Saduria entomon,Prey species : Scales,Prey species : Scoloplos armiger,Prey species : Spinachia spinachia,Prey species : Spine,Prey species : Sprattus sprattus,Prey species : Stone,Prey species : Terebellides stroemii,Prey species : Trachurus trachurus,Prey species : Unidentified mass,Prey species : Waste,Prey species : Wood,Prey species : Zoarces viviparus,Prey species : digestive tract,Prey species : litter,Prey species : plastic,Prey species : sprattus sprattus,Stage digestion : 0.0,Stage digestion : 1.0,Stage digestion : 2.0
1986,158.93604895104892,69.23547202797204,5.4419405594405585,1.9216083916083917,,50.244897959183675,,,,,,,23.19326530612245,,,15.482653061224488,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.1836734693877551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12244897959183673,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.5918367346938775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,161.52202797202798,75.55856643356643,5.135279720279721,2.133951048951049,,55.0,,,,,,,20.224444444444444,,,15.519999999999998,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,147.2688986013986,40.69347902097903,4.193199300699301,1.2308916083916084,,61.55357142857143,,,,,,,37.04416666666666,,,29.474880952380957,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8035714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,179.23169580419582,106.11468531468532,6.738094405594405,4.416241258741258,,36.52739726027397,,,,,,,2.0680136986301365,,,1.3944520547945203,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684931506849315,0.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00684931506849315,0.0,0.0,0.0,0.02054794520547945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.2054794520547945,0.0,0.0,0.00684931506849315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00684931506849315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02054794520547945,0.0,0.0,0.0,0.0,0.02054794520547945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,180.40744755244754,114.55274475524475,6.525279720279721,4.311153846153847,,42.31150335605689,993.0006998779393,,,,,,24.64769166325467,2.9433457173126483,,11.333624339299764,,0.5275258117961656,0.39178313129326525,0.0,0.0,0.0,0.0,0.0,0.9791666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003943217665615142,0.1599314872753873,0.0,0.1705092907806029,0.008179884087741177,0.0,0.001358695652173913,0.0,0.0,0.053967733613712196,0.0,0.0,0.006512277510718462,0.0,0.02106580819809627,0.004573170731707317,0.0,0.001524390243902439,0.0,0.0,0.01764434264636358,0.0,0.0,0.006175967692624794,0.0,0.0,0.001524390243902439,0.008878674766516095,0.10121387907152479,0.0,0.0,0.001524390243902439,0.0,0.0,0.10719390681385868,0.0,0.0,0.0,0.0,0.0,0.007130305817476349,0.004166666666666667,0.0,0.0,0.0,0.001092645788907883,0.0,0.0,0.20919379215739625,0.0,0.0013966480446927375,0.0,0.0,0.08047000962224071,0.00284566320764331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006983240223463687,0.0,0.0,0.0,0.0
2008,158.4325524475524,106.23134615384616,5.990052447552447,3.9165559440559448,,40.21740036635673,887.1955111175985,,,3.1818155479841606,,,26.730982496012285,2.029912311347985,,12.005071225874833,,0.6200254976915318,0.37997450230846813,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0009009009009009009,0.0,0.0,0.0,0.0009009009009009009,0.0017647058823529412,0.049672632784587244,0.0,0.10195417647979317,0.051039862662253556,0.0,0.0,0.008823529411764706,0.0,0.030312665606783258,0.0,0.0,0.0,0.0,0.010783695679331353,0.04784599078716726,0.005405405405405406,0.0049924585218702865,0.0,0.0,0.012188659247482777,0.021795476691112363,0.001176470588235294,0.009283553002718088,0.0,0.0,0.006153846153846154,0.04689291101055807,0.06480758382086656,0.0,0.000588235294117647,0.007647058823529412,0.0,0.0,0.11958937407704011,0.0,0.0018018018018018018,0.0,0.0,0.0,0.01571254804651389,0.0,0.0,0.0,0.002352941176470588,0.005731523378582202,0.0,0.0,0.1635683092229582,0.0,0.0029411764705882353,0.0,0.0,0.19699315941251422,0.0052019761697181055,0.0,0.000588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.000588235294117647,0.0,0.0,0.0,0.0
2009,162.6451398601399,88.87807692307692,5.902552447552448,3.2161188811188812,,51.81985506069288,2199.7484018825176,,,3.001077888519749,,,40.30793911703561,1.383303182365175,,21.766522631554423,,0.6778053760863715,0.3032706974005826,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.006084921412392607,0.0,0.0,0.0,0.0,0.0008169934640522876,0.09016820965190549,0.0,0.15930763188685113,0.009274940656318198,0.0,0.0,0.022614266590170202,0.0,0.04997580692781142,0.0,0.0,0.0013386880856760374,0.0,0.027698982556618068,0.02940210094783513,0.001718213058419244,0.0234634843068578,0.0,0.0,0.010030317347822663,0.004253419580890775,0.0,0.014854505286822792,0.0,0.0,0.013637506284565108,0.0014863375068903063,0.10580450339486484,0.0,0.0008169934640522876,0.016626947349838914,0.0,0.0,0.1600985891839421,0.0,0.0028250255925663438,0.0,0.0,0.0,0.02712973301208595,0.0,0.0009157509157509159,0.0,0.0,0.0,0.0,0.0,0.12607001126147452,0.0,0.0013386880856760374,0.0,0.0,0.07107083953493241,0.008008727410591996,0.0,0.0006693440428380187,0.0006693440428380187,0.001718213058419244,0.0,0.0,0.0,0.0,0.010110964098229107,0.0,0.0,0.0,0.0
2010,205.4622027972028,110.68944055944056,7.470384615384616,4.4771853146853156,,61.97827554998607,2981.6816207184625,,,3.7600212652844234,,,110.19631899540519,3.366871522556391,,40.778185275689225,,0.7467230576441103,0.24702694235588973,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.026077694235588974,0.0,0.1596853244221665,0.019598997493734335,0.0,0.0,0.0020833333333333333,0.0,0.013975563909774434,0.0,0.0,0.0006265664160401002,0.0,0.08225320245057087,0.00875,0.026892230576441103,0.0033333333333333335,0.0,0.0,0.0045864661654135335,0.0006265664160401002,0.0,0.0012531328320802004,0.022685185185185183,0.0,0.0,0.0022932330827067668,0.03521929824561403,0.0,0.0,0.0016666666666666668,0.0,0.0,0.18664334447229183,0.0,0.0206296992481203,0.0,0.0,0.0,0.0018796992481203006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11674185463659148,0.0012531328320802004,0.0,0.0,0.0,0.24831001113895848,0.002506265664160401,0.0,0.0,0.0006265664160401002,0.0033364661654135337,0.0,0.0,0.0,0.0,0.004799498746867168,0.0,0.0,0.0,0.0
2011,185.60054195804196,124.64104895104896,7.17444055944056,5.1745629370629365,,42.552011394901335,1072.5055610276247,,,,,,28.498394624923122,1.9544317889202993,,13.598920255262158,,0.5386738356504316,0.4613261643495684,0.0,0.0,0.0,0.0,0.0,0.9969696969696968,0.0,0.0,0.0030303030303030303,0.0056749006389294155,0.0,0.038936802659635325,0.0013986013986013986,0.0,0.005634653116667505,0.26074299802208933,0.0,0.11933031559116847,0.0105997630106003,0.0,0.0,0.003930246968221652,0.033861440244612726,0.1338672805434543,0.0,0.0030303030303030303,0.004276299240328017,0.0044691519511663395,0.029860795792860266,0.0,0.004316546762589928,0.0,0.0,0.0,0.0126354506374541,0.0,0.0,0.0,0.0,0.0,0.0,0.1399101534315744,0.0,0.0,0.0,0.0,0.0,0.0,0.04178375616740142,0.0,0.0,0.0028374503194647078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027345718136193752,0.0,0.0,0.0,0.03568560210244977,0.07348879151082957,0.0,0.0,0.0,0.006382978723404255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,190.25694055944055,90.75681818181819,6.070384615384614,3.19048951048951,,29.178145930571347,353.62715855437733,173.12481925606926,,,,,6.630725843563941,1.0458644009381446,,3.1988888258029458,,0.23746136163092252,0.14263564722419736,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.018675971300813474,0.0,0.00040064102564102563,0.007696150525398302,0.1603862373461005,0.00042735042735042735,0.043686473688410644,0.018721892057673495,0.009615384615384616,0.0,0.005723332878013243,0.004178295059415771,0.044083068357581696,0.0,0.0,0.0005268703898840885,0.0,0.004149219862089364,0.0,0.044550086107921924,0.023551756885090216,0.0,0.0,0.005640643497378657,0.000827991452991453,0.0,0.006419370700064832,0.0,0.0021602513747054205,0.0,0.09085544451182016,0.27462857728268686,0.0,0.00531517094017094,0.001282051282051282,0.0,0.0,0.03083838189657103,0.0,0.0,0.0,0.0,0.0,0.011263683994848377,0.0,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0670320600808527,0.0013548618428755415,0.0,0.0,0.01605328759934023,0.07851280959990523,0.007534246575342464,0.0,0.0,0.003865701798890936,0.00042735042735042735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,193.85896853146855,105.24222027972027,6.413356643356644,3.8389685314685313,,29.96993879491664,360.6926570269944,305.26455111460166,,,,,4.981908575538879,1.0513702674703096,,2.377825977224511,,0.10031401005914839,0.07717258163479093,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.003908335067878536,0.0,0.004192978548719561,0.0,0.0,0.0012015363577863576,0.10979343741545496,0.0009523809523809525,0.06546474537417092,0.02975211683017065,0.0011160714285714285,0.0,0.004622511834888027,0.0071304264677758645,0.02815069772815437,0.0,0.0,0.0,0.0,0.0056657324640484235,0.018639041972846448,0.05131708082477909,0.03242956116039717,0.0,0.0,0.006207540209741237,0.0016495368608044664,0.0021656534954407297,0.003158035586804391,0.0,0.0,0.00931317435570462,0.04332400271655369,0.26387603360894535,0.0,0.0032107769715528337,0.003879747056562904,0.0,0.0,0.059326622040043464,0.0,0.0,0.0,0.0,0.0,0.015447213275533158,0.0,0.0,0.0,0.0,0.0004926108374384236,0.0005580357142857143,0.0,0.1225791278786588,0.005262611390175761,0.0,0.0009523809523809525,0.01012727559226657,0.06564625077133636,0.013683438979133595,0.00016420361247947455,0.0,0.001006036217303823,0.001006036217303823,0.0,0.001904761904761905,0.0,0.0,0.0007222393267651889,0.0,0.0,0.0,0.0
2015,222.95935314685315,119.52412587412586,7.268216783216784,4.02305944055944,48.19654765445275,30.206752087475344,315.2784497381492,265.3102495789767,2.2378261671986013,3.278971762848356,,14.708565357664352,10.314397872556746,2.176710079067073,79.74321491291161,1.8466443411988638,6.28926997041563,0.47646421550738816,0.40145790753668614,0.0,0.320823668377936,0.31507807550363026,0.10891449921072395,0.12104239787569096,0.9171453368373059,0.01236251517584529,0.02245842470425904,0.04664191743533824,0.0,0.0,0.0,0.0,0.0,0.0027100271002710027,0.07005850410825054,0.0,0.030189326346990897,0.014346362368847544,0.0,0.0,0.014091444037243495,0.0010288065843621398,0.0,0.06392144440924928,0.0,0.0,0.0,0.0,0.019520669320771282,0.019513796779084283,0.033967629567189524,0.0,0.0005420054200542005,0.06632175412663217,0.0,0.0,0.002168021680216802,0.0,0.0,0.02187616942104586,0.00211021102110211,0.21706398421094283,0.0,0.0,0.04351405394765829,0.0,0.0,0.05809081374698913,0.0,0.0005420054200542005,0.0,0.0,0.0,0.0035910140246183603,0.0,0.0,0.0032520325203252032,0.0,0.001084010840108401,0.0,0.002654822844524741,0.1318649453319018,0.01977935372579715,0.0,0.0,0.0,0.08538953153780489,0.0074136320587795,0.0,0.0,0.0,0.0010288065843621398,0.0005420054200542005,0.003968253968253968,0.00101010101010101,0.0,0.0,0.0,0.042084970779059705,0.7141996315934441,0.18584213052672094
2016,173.97344405594401,99.17141608391607,6.7350349650349655,3.5370804195804197,62.72163994697132,33.89011084265133,497.9382472266126,463.496692136779,2.8426939181666997,2.795430518521825,46.76431188600119,24.281250831335925,9.810089029782414,1.594890849982863,102.02631614004231,3.222918370546124,2.7691439845577506,0.5327009025442375,0.40465347263209284,0.0,0.1733116798430013,0.19420248456149336,0.2259828406033703,0.30881373631491543,0.7864257385785663,0.007125186236153142,0.08389715893270124,0.12138672770257565,0.00961552963306453,0.0,0.0003980099502487562,0.0,0.0,0.0024028451932084304,0.059219322015027304,0.0,0.07047731565485775,0.030878279122108485,0.03333333333333333,0.0,0.04069195350827391,0.0,0.0001990049751243781,0.026995633958612382,0.0,0.0001990049751243781,0.0,0.009851490662175966,0.01429560488603269,0.02050892697663924,0.04770395407903019,0.0,0.0,0.009527905582415641,0.0,0.0006441223832528181,0.001263810816049622,0.0,0.0,0.0020536900679339024,0.0024413533043640095,0.12707585976517322,0.0,0.0017222673679519883,0.007794488657564583,0.0001990049751243781,0.0,0.10856400111393634,0.0,0.0,0.0,0.0001990049751243781,0.0,0.009232412029068904,0.0,0.0,0.008976264816595607,0.0,0.0009226617922270095,0.0,0.0028228228228228225,0.049220717528727954,0.005832708624890516,0.0009226617922270095,0.0,0.0,0.1565478607728652,0.007026952836655817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012232415902140674,0.0006116207951070337,0.0014184397163120566,0.027988086373859005,0.6275949646101175,0.2060305986433147
2017,180.67423076923075,95.5836013986014,7.230314685314685,4.240349650349651,60.334539839977,32.306462421342765,479.0021126916636,415.1511275757433,3.0086392052019755,3.139748594095054,43.49114619586351,27.528107395649414,8.358334356545283,1.5587224719628463,85.86616180659833,2.2210198466900675,1.8203740846127467,0.5160618720317275,0.32550166144939485,0.10248025473117067,0.4118910663153989,0.2662123175062019,0.12970012719969318,0.08534917413058173,0.8574171035717042,0.05691236048250682,0.02369279637839139,0.061372046048318134,0.006491668449595351,0.00023596035865974517,0.0012113870381586917,0.0,0.0,0.002413383479122355,0.049695971716169435,0.0,0.059003978133619635,0.04655482857378745,0.00023596035865974517,0.0,0.018604958507107174,0.0,0.0,0.012546150872464735,0.0,0.0012113870381586917,0.0,0.003935465598851425,0.027696030694656877,0.017511156872489744,0.08746272978019627,0.0017094017094017094,0.0,0.008841873298932447,0.0,0.0,0.0029207887475604013,0.0,0.0,0.0020301949435807703,0.0011926058437686344,0.14830098372235734,0.0,0.0018170805572380376,0.0006056935190793458,0.0017094017094017094,0.0005963029218843172,0.11226894118569275,0.0,0.0,0.0,0.0,0.0,0.0010682236392038076,0.0,0.0,0.0,0.0,0.0,0.0,0.000841653877739091,0.04670447242650014,0.010232458138898908,0.0,0.0,0.0,0.21258035952693247,0.006591268650418674,0.0,0.0,0.0,0.0,0.0005963029218843172,0.0,0.0,0.0,0.0006056935190793458,0.0,0.017464019651004303,0.6999212015026016,0.1663537137373195
