,A43ml,A1ml,V43ml,V1ml,Depth,Length,Weight,Age,Maturity,Stomach content,perc.stomachcontent,Prey size,Prey weight,Prey nr,Sex : F,Sex : M,Gall bladder : 1.0,Gall bladder : 4.0,n.full : 1.0,n.skeletal : 1.0,n.empty : 1.0,Prey species : Algae,Prey species : Amphipoda,Prey species : Bivalvia,Prey species : Bylgides sarsi,Prey species : Carbon,Prey species : Clupea harengus,Prey species : Clupeidae,Prey species : Crangon crangon,Prey species : Crustacea,Prey species : Diastylis rathkei,Prey species : Gammarus sp.,Prey species : Gasterosteidae,Prey species : Gasterosteus aculeatus,Prey species : Gobiidae,Prey species : Halicryptus spinulosus,Prey species : Limecola balthica,Prey species : Monoporeia affinis,Prey species : Mucus,Prey species : Mysida,Prey species : Mysidae,Prey species : Mysis mixta,Prey species : Mytilus sp.,Prey species : Neomysis integer,Prey species : Phyllodocida,Prey species : Pisces,Prey species : Polychaeta,Prey species : Pontoporeia femorata,Prey species : Pontoporeiidae,Prey species : Priapulida,Prey species : Priapulus caudatus,Prey species : Pungitius pungitius,Prey species : Remains,Prey species : Saduria entomon,Prey species : Sand,Prey species : Scales,Prey species : Scoloplos armiger,Prey species : Sprattus sprattus,Prey species : Stone,Prey species : litter,Stage digestion : 0.0,Stage digestion : 1.0,Stage digestion : 2.0
2015 - 40G4,723.16,229.65,10.17,1.42,67.44571428571427,27.104761904761904,260.1714285714286,4.561904761904762,4.0,4.289714285714286,1.6437142857142857,12.0,1.1666666666666667,4.302631578947368,0.6095238095238096,0.3904761904761905,0.0,0.0,0.9333333333333333,0.009523809523809525,0.05714285714285714,0.0,0.0,0.0,0.0761904761904762,0.0,0.0,0.0,0.0,0.0,0.11428571428571428,0.009523809523809525,0.0,0.0,0.0,0.1619047619047619,0.26666666666666666,0.08571428571428572,0.0,0.0,0.0,0.0,0.0380952380952381,0.0,0.009523809523809525,0.0,0.02857142857142857,0.009523809523809525,0.0,0.0,0.01904761904761905,0.0,0.009523809523809525,0.01904761904761905,0.009523809523809525,0.0,0.05714285714285714,0.0,0.02857142857142857,0.0,0.0380952380952381,0.7333333333333333,0.17142857142857143
2015 - 40G6,1442.96,815.54,16.87,4.1,54.4,20.5,135.0,2.375,4.0,2.23,2.015,,1.56125,5.5,0.375,0.625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25
2015 - 41G7,271.02,11.4,1.3,0.02,37.69999999999999,30.8,393.92,12.506666666666666,5.706666666666667,18.18626666666667,4.877466666666666,34.92,2.495733333333333,7.258484848484849,0.72,0.28,0.0,0.0,0.9733333333333334,0.0,0.02666666666666667,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05333333333333334,0.0,0.0,0.0,0.0,0.12,0.2,0.0,0.0,0.0,0.0,0.02666666666666667,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.013333333333333334,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8533333333333334,0.12
2015 - 41G8,1971.85,1193.7,71.24,11.36,115.3531914893617,26.074468085106382,221.24468085106383,10.376344086021506,4.0,3.037659574468086,1.1986170212765959,34.63636363636363,0.8380851063829786,7.317460317460317,0.40425531914893614,0.5957446808510638,0.0,0.0,0.8936170212765957,0.02127659574468085,0.0851063829787234,0.02127659574468085,0.13829787234042554,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.07446808510638298,0.0,0.0,0.0,0.0,0.14893617021276595,0.0851063829787234,0.0,0.0,0.0,0.0425531914893617,0.031914893617021274,0.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.010638297872340425,0.32978723404255317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6808510638297872,0.2127659574468085
2015 - 43G6,0.0,0.0,0.0,0.0,53.0,24.302325581395348,189.1627906976744,8.0,4.093023255813954,2.793023255813954,1.207674418604651,,1.5655813953488371,5.809523809523809,0.5348837209302325,0.46511627906976744,0.0,0.0,0.627906976744186,0.023255813953488372,0.3488372093023256,0.0,0.0,0.0,0.09302325581395349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11627906976744186,0.3953488372093023,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5116279069767442,0.13953488372093023
2015 - 43G8,164.52,112.23,3.52,1.56,62.151937984496136,21.984496124031008,160.06201550387595,5.589147286821706,3.387596899224806,3.3506976744186048,1.9131007751937983,19.24137931034483,0.4206976744186046,3.764705882352941,0.4728682170542636,0.5271317829457365,0.0,0.0,0.9457364341085271,0.015503875968992248,0.03875968992248062,0.015503875968992248,0.0,0.0,0.031007751937984496,0.0,0.0,0.0,0.0,0.015503875968992248,0.007751937984496124,0.007751937984496124,0.0,0.0,0.007751937984496124,0.007751937984496124,0.03875968992248062,0.20155038759689922,0.0,0.0,0.007751937984496124,0.023255813953488372,0.015503875968992248,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.007751937984496124,0.0,0.0,0.0,0.5736434108527132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875968992248062,0.06976744186046512
2015 - 44G9,2091.52,1856.2,102.22,76.74,82.05714285714286,23.7,166.82857142857142,11.628571428571428,4.185714285714286,1.728714285714286,0.7657142857142859,16.8,0.3448571428571429,3.933333333333333,0.32857142857142857,0.6714285714285714,0.0,0.0,0.7428571428571429,0.0,0.2571428571428571,0.0,0.014285714285714285,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.014285714285714285,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.2,0.14285714285714285,0.0,0.0,0.0,0.014285714285714285,0.02857142857142857,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.17142857142857143,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.014285714285714285,0.6142857142857143,0.11428571428571428
2016 - 39G4,672.76,15.62,5.31,0.01,60.199999999999974,27.30909090909091,271.41818181818184,5.636363636363637,3.890909090909091,1.928545454545455,0.9543636363636362,,0.4967272727272728,7.5588235294117645,0.7818181818181819,0.21818181818181817,0.0,0.0,0.8727272727272727,0.03636363636363636,0.09090909090909091,0.01818181818181818,0.03636363636363636,0.0,0.10909090909090909,0.0,0.0,0.0,0.0,0.01818181818181818,0.16363636363636364,0.0,0.0,0.0,0.0,0.2,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.14545454545454545,0.0,0.0,0.03636363636363636,0.0,0.05454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.2545454545454545
2016 - 40G4,528.5,136.21,3.33,0.53,52.807142857142864,35.57142857142857,531.0,9.428571428571429,4.0,1.5307142857142857,0.3178571428571429,,0.7028571428571428,2.3333333333333335,1.0,0.0,0.0,0.0,0.6428571428571429,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.07142857142857142,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.21428571428571427
2016 - 40G5,1636.45,537.11,23.96,4.61,89.00306122448981,24.505102040816325,208.5204081632653,4.266666666666667,4.01530612244898,3.0752040816326525,1.4619897959183672,20.727272727272727,0.6671938775510204,4.876106194690266,0.6122448979591837,0.3877551020408163,0.0,0.0,0.8163265306122449,0.02040816326530612,0.16326530612244897,0.0,0.015306122448979591,0.00510204081632653,0.01020408163265306,0.00510204081632653,0.0,0.0,0.0,0.0,0.08163265306122448,0.00510204081632653,0.0,0.0,0.0,0.10714285714285714,0.21428571428571427,0.0,0.0,0.0,0.0,0.00510204081632653,0.09693877551020408,0.0,0.0,0.0,0.0,0.12755102040816327,0.0,0.02040816326530612,0.015306122448979591,0.0,0.015306122448979591,0.08673469387755102,0.0,0.0,0.00510204081632653,0.0,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.7040816326530612,0.10204081632653061
2016 - 40G6,1456.17,307.33,18.97,1.43,82.9047619047619,21.0,181.23809523809524,3.7142857142857144,4.619047619047619,0.6357142857142856,1.3476190476190477,,0.18,4.083333333333333,0.47619047619047616,0.5238095238095238,0.0,0.0,0.7142857142857143,0.047619047619047616,0.23809523809523808,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.5238095238095238,0.19047619047619047
2016 - 40G7,108.57,0.0,0.18,0.0,62.489999999999995,25.575,219.9,6.15,4.875,2.7022500000000003,1.24875,17.2,0.804,19.82758620689655,0.6,0.4,0.0,0.0,0.975,0.0,0.025,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.05,0.2,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.9,0.05
2016 - 40G8,3181.64,1048.39,98.74,12.88,67.75,32.0,360.3333333333333,9.166666666666666,4.333333333333333,0.03166666666666667,0.016666666666666666,,0.03166666666666667,,0.6666666666666666,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
2016 - 41G6,114.13,15.21,1.11,0.08,36.0,25.708333333333332,236.75,5.958333333333333,3.75,1.4379166666666665,0.8083333333333335,30.5,0.43875000000000003,3.5238095238095237,0.9166666666666666,0.08333333333333333,0.0,0.0,0.9583333333333334,0.0,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.125,0.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.041666666666666664,0.16666666666666666,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.0
2016 - 41G7,80.35,19.01,0.13,0.11,48.5,32.3,221.2,9.5,4.0,5.855000000000001,2.749,42.5,1.4769999999999999,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2016 - 41G8,2049.1,1658.14,81.74,40.09,51.152464788732395,24.795774647887324,194.00704225352112,7.665492957746479,4.381625441696113,2.958485915492958,1.319683098591549,26.37962962962963,0.8292605633802816,3.0376190476190477,0.4788732394366197,0.5211267605633803,0.0,0.0,0.9049295774647887,0.014084507042253521,0.08098591549295775,0.0,0.0035211267605633804,0.0,0.04225352112676056,0.0,0.0,0.0,0.0,0.0,0.0,0.056338028169014086,0.0035211267605633804,0.0,0.0,0.017605633802816902,0.04225352112676056,0.02112676056338028,0.0,0.007042253521126761,0.0,0.028169014084507043,0.0,0.0,0.0,0.0035211267605633804,0.01056338028169014,0.07394366197183098,0.0,0.0,0.0,0.0,0.028169014084507043,0.573943661971831,0.0,0.007042253521126761,0.0,0.0,0.0,0.0,0.007042253521126761,0.823943661971831,0.08450704225352113
2016 - 42G6,185.79,125.18,1.41,1.06,91.65384615384616,23.141025641025642,169.03846153846155,4.743589743589744,3.6794871794871793,4.330641025641025,2.641538461538461,44.875,1.4408974358974358,4.150943396226415,0.6282051282051282,0.3717948717948718,0.01282051282051282,0.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.02564102564102564,0.0,0.02564102564102564,0.01282051282051282,0.02564102564102564,0.358974358974359,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20512820512820512,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.717948717948718,0.10256410256410256
2016 - 42G7,1419.98,491.47,16.2,2.45,84.0,23.181818181818183,145.72727272727272,3.3636363636363638,4.0,0.18454545454545454,0.15454545454545454,23.333333333333332,0.07,1.5,0.22727272727272727,0.7727272727272727,0.0,0.0,0.2727272727272727,0.045454545454545456,0.6818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.045454545454545456
2016 - 43G7,2272.57,1739.06,59.71,32.3,45.22215568862275,23.652694610778443,165.83832335329342,6.0,4.3229813664596275,3.5065269461077833,2.1716167664670656,15.46875,0.6068263473053892,3.819672131147541,0.6946107784431138,0.30538922155688625,0.0,0.0,0.8083832335329342,0.023952095808383235,0.16766467065868262,0.0,0.0,0.0,0.011976047904191617,0.0,0.0,0.005988023952095809,0.0,0.0,0.005988023952095809,0.0,0.0,0.011976047904191617,0.011976047904191617,0.0718562874251497,0.20359281437125748,0.005988023952095809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029940119760479042,0.0,0.017964071856287425,0.0,0.005988023952095809,0.005988023952095809,0.0,0.0,0.437125748502994,0.0,0.0,0.0,0.005988023952095809,0.0,0.0,0.0,0.7305389221556886,0.10179640718562874
2016 - 43G8,339.79,112.21,4.78,1.85,53.69320388349515,24.145631067961165,181.96116504854368,6.65979381443299,3.7184466019417477,3.0528155339805814,1.4210679611650483,26.1,0.4747572815533979,5.108433734939759,0.5436893203883495,0.4563106796116505,0.0,0.0,0.8737864077669902,0.0,0.1262135922330097,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.0,0.0,0.009708737864077669,0.009708737864077669,0.019417475728155338,0.0,0.0,0.019417475728155338,0.02912621359223301,0.06796116504854369,0.05825242718446602,0.0,0.009708737864077669,0.0,0.038834951456310676,0.0,0.0,0.0,0.0,0.0,0.05825242718446602,0.0,0.0,0.0,0.0,0.0,0.5436893203883495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8058252427184466,0.038834951456310676
2016 - 43G9,3218.51,2995.89,267.89,191.34,56.0,29.127659574468087,326.72340425531917,6.829787234042553,4.148936170212766,4.922340425531915,1.3970212765957446,35.608695652173914,1.3902127659574468,2.891891891891892,0.851063829787234,0.14893617021276595,0.0,0.0,0.9574468085106383,0.02127659574468085,0.02127659574468085,0.0,0.0,0.02127659574468085,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.851063829787234,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.7872340425531915,0.0425531914893617
2016 - 44G9,2062.78,1650.75,107.42,63.34,61.096916299559474,22.60633484162896,161.20814479638008,7.881818181818182,3.9547511312217196,2.367621145374449,1.401945701357466,16.210526315789473,0.47577092511013214,6.195488721804511,0.4052863436123348,0.5682819383259912,0.0,0.004405286343612335,0.8546255506607929,0.00881057268722467,0.13656387665198239,0.0,0.01762114537444934,0.0,0.022026431718061675,0.0,0.0,0.0,0.0,0.0,0.07048458149779736,0.0,0.0,0.0,0.0,0.09251101321585903,0.16299559471365638,0.09251101321585903,0.0,0.004405286343612335,0.0,0.01762114537444934,0.03524229074889868,0.0,0.0,0.013215859030837005,0.0,0.07048458149779736,0.0,0.0,0.0,0.0,0.07048458149779736,0.1762114537444934,0.004405286343612335,0.0,0.0,0.0,0.013215859030837005,0.0,0.0,0.6651982378854625,0.18061674008810572
2017 - 40G4,598.8,93.38,6.06,0.28,39.301587301587304,27.53968253968254,254.31746031746033,6.483333333333333,4.507936507936508,2.432539682539682,1.2741269841269838,,0.8858730158730159,9.658536585365853,0.7142857142857143,0.2857142857142857,0.0,0.0,0.746031746031746,0.015873015873015872,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15873015873015872,0.047619047619047616,0.0,0.0,0.0,0.015873015873015872,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.015873015873015872,0.031746031746031744,0.0,0.015873015873015872,0.06349206349206349,0.0,0.0,0.0,0.031746031746031744,0.0,0.0,0.0,0.0,0.0,0.031746031746031744,0.6190476190476191,0.09523809523809523
2017 - 40G5,1578.1,471.29,28.04,2.88,77.05128205128206,20.76923076923077,140.82051282051282,4.9743589743589745,4.051282051282051,2.534871794871794,2.8100000000000014,14.0,1.0446153846153845,11.04,0.46153846153846156,0.5384615384615384,0.0,0.0,0.7692307692307693,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.1794871794871795,0.28205128205128205,0.0,0.0,0.0,0.0,0.05128205128205128,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.07692307692307693
2017 - 40G6,1747.14,820.3,24.18,3.67,64.02173913043477,21.58695652173913,147.6086956521739,4.956521739130435,5.021739130434782,2.637826086956522,1.904782608695653,36.3,0.9606521739130435,4.176470588235294,0.45652173913043476,0.5434782608695652,0.0,0.0,0.8260869565217391,0.021739130434782608,0.15217391304347827,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.021739130434782608,0.0,0.0,0.0,0.08695652173913043,0.15217391304347827,0.0,0.0,0.0,0.0,0.0,0.15217391304347827,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.021739130434782608,0.21739130434782608,0.0,0.0,0.0,0.06521739130434782,0.0,0.0,0.0,0.782608695652174,0.06521739130434782
2017 - 40G7,1204.62,0.0,11.85,0.0,60.0,25.583333333333332,240.91666666666666,6.833333333333333,4.541666666666667,3.537916666666666,1.68,22.25,0.6304166666666667,1.8235294117647058,0.8333333333333334,0.16666666666666666,0.0,0.0,0.9166666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7916666666666666,0.0
2017 - 40G8,3487.14,2315.92,137.46,51.02,109.0,34.92307692307692,530.3076923076923,8.0,5.230769230769231,0.28,0.05692307692307692,,0.14,1.0,1.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.7692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693
2017 - 41G7,215.06,0.0,1.08,0.0,58.86486486486486,26.81081081081081,273.2162162162162,9.81081081081081,4.594594594594595,1.2891891891891896,0.6645945945945945,26.375,0.5175675675675676,5.173913043478261,0.7027027027027027,0.2972972972972973,0.0,0.0,0.7027027027027027,0.02702702702702703,0.2702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21621621621621623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.02702702702702703,0.0,0.0,0.0,0.02702702702702703,0.3783783783783784,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.02702702702702703,0.6756756756756757,0.02702702702702703
2017 - 41G8,2332.01,1902.4,99.83,53.48,64.28402366863905,28.31360946745562,297.2248520710059,10.0,4.609467455621302,6.3234911242603555,1.6522485207100592,30.51219512195122,0.7053254437869823,2.142857142857143,0.6745562130177515,0.3254437869822485,0.0,0.0,0.7455621301775148,0.07100591715976332,0.1834319526627219,0.0,0.0,0.0,0.08284023668639054,0.0,0.0,0.0,0.0,0.0,0.005917159763313609,0.04142011834319527,0.0,0.0,0.0,0.0,0.029585798816568046,0.0,0.0,0.0,0.0,0.011834319526627219,0.005917159763313609,0.0,0.0,0.0,0.0,0.0,0.005917159763313609,0.0,0.0,0.0,0.023668639053254437,0.5857988165680473,0.0,0.0,0.023668639053254437,0.0,0.0,0.0,0.0,0.7041420118343196,0.11242603550295859
2017 - 42G6,147.85,60.69,2.12,0.39,82.0,25.09375,227.75,6.8125,4.21875,3.135,1.7559375,90.0,1.2650000000000001,6.266666666666667,0.65625,0.34375,0.0,0.0,0.71875,0.03125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.0,0.0,0.0,0.03125,0.0,0.0,0.09375,0.03125,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.53125,0.21875
2017 - 43G6,0.0,0.0,0.0,0.0,57.0,24.625,184.0,8.25,4.75,0.14875,0.10875,,0.14875,2.5,0.625,0.375,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
2017 - 43G7,2340.38,1971.38,83.16,54.58,60.83783783783784,24.54054054054054,174.32432432432432,6.985915492957746,5.094594594594595,4.8104054054054055,2.2144594594594595,72.0,1.2568918918918919,5.075,0.44594594594594594,0.5540540540540541,0.0,0.0,0.581081081081081,0.0,0.4189189189189189,0.0,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.0,0.013513513513513514,0.20270270270270271,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.24324324324324326,0.0,0.0,0.0,0.5540540540540541,0.02702702702702703
2017 - 43G8,392.17,201.88,7.4,4.34,85.40764331210191,22.97452229299363,155.13375796178343,8.748387096774193,4.732484076433121,1.633566878980892,1.1756050955414012,23.666666666666668,0.4952866242038216,15.294268292682927,0.4585987261146497,0.5414012738853503,0.0,0.0,0.8598726114649682,0.025477707006369428,0.11464968152866242,0.012738853503184714,0.025477707006369428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012738853503184714,0.0,0.0,0.0,0.01910828025477707,0.006369426751592357,0.12101910828025478,0.0,0.025477707006369428,0.0,0.0,0.012738853503184714,0.025477707006369428,0.0,0.0,0.0,0.0,0.22929936305732485,0.07006369426751592,0.0,0.0,0.0,0.1592356687898089,0.15286624203821655,0.012738853503184714,0.0,0.0,0.0,0.0,0.0,0.025477707006369428,0.5923566878980892,0.267515923566879
2017 - 44G9,2397.12,1959.24,116.05,90.92,58.0,24.0,173.24242424242425,9.242424242424242,4.818181818181818,2.9445454545454544,1.5607575757575756,16.333333333333332,0.5696969696969697,7.76,0.42424242424242425,0.5757575757575758,0.0,0.0,0.9090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.09090909090909091,0.015151515151515152,0.0,0.0,0.030303030303030304,0.07575757575757576,0.19696969696969696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24242424242424243,0.0,0.030303030303030304,0.030303030303030304,0.0,0.030303030303030304,0.15151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.07575757575757576
2017 - 45G9,2583.05,2318.6,151.44,118.51,36.0,31.333333333333332,322.0,12.0,5.333333333333333,3.893333333333333,1.1733333333333333,,2.1799999999999997,2.6666666666666665,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
